id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4
1,IN0001TMS,Kelat,Syzigium spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,59,20,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.7439957,102.391835,263.1200708,10.53,-,-,-,Sumardi,9/14/21 14:11,200000,"6121,4",-,Chave et al. 2014,INDRAGIRI_1_1.jpg,INDRAGIRI_2_1.jpg,INDRAGIRI_3_1.jpg,INDRAGIRI_4_1.jpg
2,IN0003TMS,Meranti Batu,Shorea spp,Pohon Dewasa,icon/mature_tree.svg,-,42,20,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.744146,102.3917887,277.2535023,10.53,-,-,-,M Heri F,9/14/21 14:43,200000,"2600,69",-,Chave et al. 2014,INDRAGIRI_1_2.jpg,INDRAGIRI_2_2.jpg,INDRAGIRI_3_2.jpg,INDRAGIRI_4_2.jpg
3,IN0002TMS,Kelat,Syzigium spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,50,18,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.7440827,102.3917791,272.1901807,10.53,-,-,-,Sumardi,9/14/21 14:23,200000,"3998,32",-,Chave et al. 2014,INDRAGIRI_1_3.jpg,INDRAGIRI_2_3.jpg,INDRAGIRI_3_3.jpg,INDRAGIRI_4_3.jpg
4,IN0143TMS,Rengas,Gluta renghas,Pohon Dewasa,icon/mature_tree.svg,-,95,32,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.7490718,102.392831,274.4787706,11.02,-,-,-,Sumardi,9/15/21 15:32,200000,"21719,53",-,Chave et al. 2014,INDRAGIRI_1_4.jpg,INDRAGIRI_2_4.jpg,INDRAGIRI_3_4.jpg,INDRAGIRI_4_4.jpg
5,IN0004TMS,Keruing Air,Dipterocarpus spp,Pohon Dewasa,icon/mature_tree.svg,-,82,30,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.7441891,102.3917587,280.1333019,10.54,-,-,-,Suharni,9/14/21 13:56,200000,"17591,85",-,Chave et al. 2014,INDRAGIRI_1_5.jpg,INDRAGIRI_2_5.jpg,INDRAGIRI_3_5.jpg,INDRAGIRI_4_5.jpg
6,IN0144TMS,Meranti,Shorea spp,Pohon Dewasa,icon/mature_tree.svg,-,69,30,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.7489873,102.3928007,268.4249878,11.01,-,-,-,Sumardi,9/15/21 15:35,200000,"10181,34",-,Chave et al. 2014,INDRAGIRI_1_6.jpg,INDRAGIRI_2_6.jpg,INDRAGIRI_3_6.jpg,INDRAGIRI_4_6.jpg
7,IN0145TMS,Kayu Batu,Irvingia malayana,Pohon Dewasa,icon/mature_tree.svg,Least Concern,51,31,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.7490227,102.392922,273.1636294,11.02,-,-,-,Sumardi,9/15/21 15:38,200000,"7358,37",-,Chave et al. 2014,INDRAGIRI_1_7.jpg,INDRAGIRI_2_7.jpg,INDRAGIRI_3_7.jpg,INDRAGIRI_4_7.jpg
8,IN0005TMS,Tungkal,Artocarpus spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,49,15,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.7441756,102.3916719,258.1386387,10.53,-,-,-,Suharni,9/14/21 15:04,200000,"2514,49",-,Chave et al. 2014,INDRAGIRI_1_8.jpg,INDRAGIRI_2_8.jpg,INDRAGIRI_3_8.jpg,INDRAGIRI_4_8.jpg
9,IN0146TMS,Balau,Palaquium spp,Pohon Dewasa,icon/mature_tree.svg,-,43,22,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.7482748,102.3894316,317.7485541,10.70,-,-,-,Sumardi,9/16/21 9:06,200000,"2957,91",-,Chave et al. 2014,INDRAGIRI_1_9.jpg,INDRAGIRI_2_9.jpg,INDRAGIRI_3_9.jpg,INDRAGIRI_4_9.jpg
10,IN0006TMS,Medang,Cinnamomum spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,45,13,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.7442465,102.3917567,274.581173,10.54,-,-,-,Suharni,9/14/21 15:16,200000,"1552,79",-,Chave et al. 2014,INDRAGIRI_1_10.jpg,INDRAGIRI_2_10.jpg,INDRAGIRI_3_10.jpg,INDRAGIRI_4_10.jpg
11,IN0147TMS,Balau,Palaquium spp,Pohon Dewasa,icon/mature_tree.svg,-,56,18,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.7482413,102.3894199,302.6180844,10.70,-,-,-,Sumardi,9/16/21 9:11,200000,"4072,47",-,Chave et al. 2014,INDRAGIRI_1_11.jpg,INDRAGIRI_2_11.jpg,INDRAGIRI_3_11.jpg,INDRAGIRI_4_11.jpg
12,IN0148TMS,Arang Arang,Diospyros siamang,Pohon Dewasa,icon/mature_tree.svg,-,57,24,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.748358,102.3891759,289.0265456,10.69,-,-,-,Sumardi,9/16/21 9:15,200000,"5421,75",-,Chave et al. 2014,INDRAGIRI_1_12.jpg,INDRAGIRI_2_12.jpg,INDRAGIRI_3_12.jpg,INDRAGIRI_4_12.jpg
13,IN0020TMS,Keranji,Dialium spp,Pohon Dewasa,icon/mature_tree.svg,-,52,20,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.7472922,102.3907469,295.9548129,10.72,-,-,-,Suharni,9/15/21 8:33,200000,"5852,16",-,Chave et al. 2014,INDRAGIRI_1_13.jpg,INDRAGIRI_2_13.jpg,INDRAGIRI_3_13.jpg,INDRAGIRI_4_13.jpg
14,IN0149TMS,Arang Arang,Diospyros siamang,Pohon Dewasa,icon/mature_tree.svg,-,43,29,Hutan Kemasyarakatan KTH Talang Mamak Sejahtera,Mineral,Dusun Talang Tanjung,-0.7483337,102.3893522,297.3121775,10.70,-,-,-,Sumardi,9/16/21 9:19,200000,"3761,98",-,Chave et al. 2014,INDRAGIRI_1_14.jpg,INDRAGIRI_2_14.jpg,INDRAGIRI_3_14.jpg,INDRAGIRI_4_14.jpg
